"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj";"symbol";"entrez"
"ENSG00000188822";136.474090240824;2.56431130769503;0.499458945370066;5.13417835733234;2.83379266471479e-07;8.71439004950327e-05;"CNR2";"1269"
"ENSG00000229106";15.2739784701065;1.69483653694429;0.506920087346794;3.34339983608662;0.000827585641399758;0.0227559671430531;NA;NA
"ENSG00000020633";676.294436853177;1.85965872994687;0.430489068289786;4.31987445659139;1.56117990562766e-05;0.00133524790116011;"RUNX3";"864"
"ENSG00000142675";2516.8618503139;-0.597725611499481;0.15078249723925;-3.96415779313601;7.36555224643891e-05;0.00392194162320596;"CNKSR1";"10256"
"ENSG00000169442";791.097843661547;2.58386444760961;0.514444895831647;5.0226262687135;5.09696660610991e-07;0.000130372784151983;"CD52";"1043"
"ENSG00000237429";3.30571573666787;2.43477949525425;0.62436823335672;3.89958900081194;9.63561134475453e-05;0.00471765736841837;NA;NA
"ENSG00000126705";6120.75430292811;-0.639872919892807;0.197754211164036;-3.23569807250292;0.00121345662999742;0.0295652316314184;"AHDC1";"27245"
"ENSG00000162511";6626.76628593699;1.70861514678797;0.395023984824834;4.32534532693154;1.52293096957515e-05;0.00132320945099372;"LAPTM5";"7805"
"ENSG00000182866";891.097216656141;1.87713045708003;0.48767147754824;3.84917007350371;0.00011851869956746;0.00550719573592835;"LCK";"3932"
"ENSG00000162522";9241.5342351368;-0.629132737495134;0.172313058658365;-3.65110307015373;0.000261116415744495;0.00984365727618606;"KIAA1522";"57648"
"ENSG00000239636";27.31451888802;1.56221689338937;0.435825216874043;3.58450322033766;0.000337720398019796;0.0118046865560713;NA;NA
"ENSG00000196182";4586.43654258446;-0.561561189116361;0.17403381180304;-3.22673613419385;0.0012521086898215;0.0302195438551364;"STK40";"83931"
"ENSG00000116885";615.280002276933;-0.467639875883365;0.144224657991863;-3.24244052573693;0.00118510680710799;0.029194588842249;"OSCP1";"127700"
"ENSG00000134690";98.1594375195791;0.994787652450884;0.313207360758006;3.17613114213969;0.00149253462245344;0.0341262991494806;"CDCA8";"55143"
"ENSG00000185668";20.1546017521174;1.66798840415622;0.506921445075222;3.29042777803315;0.0010003517755303;0.0260290346207795;"POU3F1";"5453"
"ENSG00000183682";575.776673441478;-1.85893026955956;0.443746755632241;-4.18916926369635;2.79977513316819e-05;0.00196984693109717;"BMP8A";"353500"
"ENSG00000116983";36.2277920798381;1.76682092056333;0.402008796294963;4.39498074879678;1.10782571111329e-05;0.00105039427165003;"HPCAL4";"51440"
"ENSG00000084070";3965.62092570272;1.91880453795327;0.380400703400498;5.04416664007346;4.55502205766454e-07;0.000117609810090774;"SMAP2";"64744"
"ENSG00000238287";37.3747715460275;0.832483701792857;0.263706464690979;3.15685738978145;0.00159479321821298;0.035894650978019;NA;NA
"ENSG00000222009";497.655751646056;-0.735302214531578;0.237524057448011;-3.09569574733507;0.00196351722662838;0.0413619639427774;"BTBD19";"149478"
"ENSG00000159596";1010.19909666981;0.271716154938097;0.0835086282199914;3.25374947151928;0.00113892673657848;0.028509944505207;"TMEM69";"51249"
"ENSG00000132128";5800.538167365;-0.359532442851193;0.116092201390169;-3.09695602758757;0.00195518874124599;0.0412665955638604;"LRRC41";"10489"
"ENSG00000085840";59.1974322366874;0.924814555455282;0.293982186837315;3.14581834159585;0.00165622841588223;0.0367932755797734;"ORC1";"4998"
"ENSG00000182183";99.3055659628676;2.10396944702679;0.421451827630468;4.99219438400815;5.96971285903537e-07;0.000148401279663021;"SHISAL2A";"348378"
"ENSG00000226754";75.4405174727815;-1.40197406786641;0.411931528326791;-3.40341530438574;0.000665490420037772;0.0193557994750412;"LOC100507564";"100507564"
"ENSG00000231816";7.2803616745066;1.23352873073746;0.369587771142762;3.33757993919389;0.000845114077187057;0.0230837596592141;NA;NA
"ENSG00000088035";673.650756308565;0.486585772190896;0.127230041924393;3.82445658927041;0.000131060835044666;0.00590665466514941;"ALG6";"29929"
"ENSG00000153898";193.868107058662;1.96730513448351;0.455504072868054;4.31896277479253;1.56764218358416e-05;0.00133659809727461;"MCOLN2";"255231"
"ENSG00000137975";45.0825745685848;2.70268276602686;0.75985790527163;3.55682654253721;0.000375361822024403;0.0128899343876862;"CLCA2";"9635"
"ENSG00000154451";776.414610490535;1.74496504430031;0.499098320739309;3.49623505387778;0.000471872835268685;0.0150872519024166;"GBP5";"115362"
"ENSG00000231999";79.9209504901135;0.966024348648538;0.263041467014109;3.67251733962054;0.000240172849138632;0.00934310147190297;"LRRC8C-DT";"400761"
"ENSG00000171488";1575.9674698222;0.835872036691699;0.23276722387521;3.59102120468568;0.000329384833239009;0.0115967902916655;"LRRC8C";"84230"
"ENSG00000162676";237.370800831195;1.86921433939372;0.406547570000175;4.5977752108884;4.2702635642653e-06;0.000536113960965033;"GFI1";"2672"
"ENSG00000234332";3.55090572480213;3.20671723737251;1.01257702675383;3.16688721217857;0.00154080065548027;0.0349669760695188;NA;NA
"ENSG00000162639";212.963764043038;0.69131418128226;0.188880256821549;3.66006586879751;0.000252150422181185;0.00962497197305002;"HENMT1";"113802"
"ENSG00000198758";7.5288834322344;2.34382008334441;0.682879206977105;3.43226160556238;0.000598569866260992;0.0179759976324241;"EPS8L3";"79574"
"ENSG00000259834";438.468430085934;1.7069477639315;0.466323632860615;3.66043589397432;0.000251786544857321;0.00962450551145254;NA;NA
"ENSG00000177272";177.66577853486;1.72587692808587;0.497070975965507;3.4720935470705;0.000516416351664638;0.0160611353735335;"KCNA3";"3738"
"ENSG00000143119";2239.82228230833;2.60806840123981;0.448474553074259;5.81542115012256;6.04814177521749e-09;1.11321680471865e-05;"CD53";"963"
"ENSG00000156171";1903.98794570636;0.665583774361464;0.162581833413156;4.0938385328087;4.24289836864094e-05;0.00264519101255886;"DRAM2";"128338"
"ENSG00000162777";2145.07982917608;0.912089835930273;0.278166364942176;3.27893645991266;0.00104199094420855;0.0267275071715499;"DENND2D";"79961"
"ENSG00000134242";304.162236478822;1.7167923892738;0.390228160752517;4.39945796316477;1.0852159560195e-05;0.00103488764809399;"PTPN22";"26191"
"ENSG00000116824";653.220298427714;2.10300501496401;0.4407199767336;4.77174878831326;1.82633206317666e-06;0.00030478586729928;"CD2";"914"
"ENSG00000225079";22.9277571174667;2.19598510530138;0.597789804480285;3.67350712381346;0.000239244004080444;0.00934310147190297;NA;NA
"ENSG00000116830";1019.95532785933;0.520619496455051;0.165463595662351;3.14642924548455;0.0016527724534909;0.0367762026663353;"TTF2";"8458"
"ENSG00000183508";2052.61480652815;0.915838967872935;0.230711174427537;3.96963419802012;7.19830563308546e-05;0.00387053883834806;"TENT5C";"54855"
"ENSG00000134240";83.8779523777169;3.67113747731657;0.68072758480388;5.39296123628402;6.93059082052676e-08;3.64775654167302e-05;"HMGCS2";"3158"
"ENSG00000231752";6.39970537194369;2.13160403228681;0.619102827220838;3.4430532999754;0.000575185940833079;0.0175303608181075;"EMBP1";"647121"
"ENSG00000223804";37.96368783396;1.11902148345924;0.369159935694946;3.03126470469411;0.00243531646416418;0.0481590869275357;NA;NA
"ENSG00000254539";68.4739685170033;0.957924685342565;0.289108416942294;3.31337529178116;0.000921772035267695;0.0245647310937113;NA;NA
"ENSG00000227242";64.4289560247658;1.13481663471765;0.311067473268857;3.64813660133736;0.00026414919142248;0.00994429053650873;NA;NA
"ENSG00000023902";1949.2516220993;0.762402025884769;0.211517196011553;3.60444465159763;0.000312821102134054;0.0111696834297589;"PLEKHO1";"51177"
"ENSG00000163131";1812.9010515416;1.03871593268066;0.286432999772957;3.62638359931992;0.000287418291104294;0.0105730527005825;"CTSS";"1520"
"ENSG00000163154";106.241733635853;1.63289463738721;0.53383790435484;3.05878361964689;0.00222237603929897;0.0455953596848377;"TNFAIP8L2";"79626"
"ENSG00000159445";1523.98313704575;0.380601099920781;0.120755962759003;3.15182034265555;0.00162256072645641;0.0363106005906669;"THEM4";"117145"
"ENSG00000159450";24.2481602470145;1.49868299555063;0.442408009452616;3.38755846080845;0.0007051768703767;0.0201251155008758;"TCHH";"7062"
"ENSG00000228013";7.29995738696709;1.86517493403562;0.535815137586035;3.48100455399346;0.000499536997950687;0.0156641159779278;"IL6R-AS1";"101928101"
"ENSG00000169242";5957.29526750971;-0.74583693394148;0.232078687926117;-3.21372436481078;0.00131025386358155;0.031128765618371;"EFNA1";"1942"
"ENSG00000187862";62.6381604172037;2.12319560307319;0.613816082186674;3.45900940801268;0.000542165966683107;0.0166912714759842;"TTC24";"164118"
"ENSG00000143321";9744.94320860145;-0.349218083108296;0.112639260214399;-3.10032294640067;0.001933097467413;0.0409438375206602;"HDGF";"3068"
"ENSG00000143297";1183.57451465049;3.30348287783437;0.878726355192428;3.75939888261455;0.000170322099103009;0.00725549888580633;"FCRL5";"83416"
"ENSG00000163518";22.5974154202766;5.19809776042613;0.85265752820121;6.09634887220451;1.0851844528029e-09;3.30004592097362e-06;"FCRL4";"83417"
"ENSG00000160856";396.720907543232;2.68997389822641;0.743528645656373;3.61784836931434;0.000297062338905612;0.0107686081503413;"FCRL3";"115352"
"ENSG00000132704";444.874122733897;4.143702934099;0.966366811910261;4.28791933148859;1.80354563843273e-05;0.00147779752622483;"FCRL2";"79368"
