"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj";"symbol";"entrez"
"ENSG00000225972";295.634947387049;2.55272956725561;0.764309215327427;3.33991729533449;0.000838033428629257;0.0179942393306752;NA;NA
"ENSG00000225630";12275.6704914301;-1.3380901547057;0.376980357946517;-3.54949568724091;0.000385969787684819;0.00994504395182031;NA;NA
"ENSG00000187583";116.105203515279;-1.05063357244152;0.353311787009567;-2.97367257779338;0.00294258882154215;0.0442187216124048;"PLEKHN1";"84069"
"ENSG00000223823";10.9415738134883;-2.24931204605345;0.522353600381032;-4.30610996920991;1.66150481804699e-05;0.000789133170705949;"LINC01342";"254099"
"ENSG00000186891";136.035129803636;-2.2004532879252;0.546800142840716;-4.02423685643806;5.71603668981684e-05;0.00218753675572261;"TNFRSF18";"8784"
"ENSG00000107404";5725.48743937939;0.360492471387678;0.109816070440326;3.28269323371544;0.00102820489441531;0.0207089057204712;"DVL1";"1855"
"ENSG00000242485";2498.5946970309;0.420980308987169;0.133003795551845;3.16517515338929;0.00154989620217833;0.0281781311355889;"MRPL20";"55052"
"ENSG00000160075";5944.69251118506;0.395558062399578;0.131431648243882;3.00961045292217;0.00261582947577669;0.040552140664673;"SSU72";"29101"
"ENSG00000272449";90.1075407934175;-0.852402442165039;0.229049078323904;-3.72148383395647;0.000198055547103091;0.00590786651433561;NA;NA
"ENSG00000238164";871.031115479303;-1.21806604305769;0.299109088005516;-4.07231372065573;4.65484245140975e-05;0.0018403252120395;NA;NA
"ENSG00000225931";15.0111453869723;-1.12355663460917;0.372985630179088;-3.01233222864296;0.00259248695287789;0.0403998136259475;NA;NA
"ENSG00000228037";34.3226088996241;-1.47633794487506;0.408541728991522;-3.61367723321526;0.000301884830901155;0.00828561589605568;"LOC100996583";"100996583"
"ENSG00000078900";117.380281821214;-1.15940472422486;0.328420193070774;-3.53024798318358;0.000415170333114487;0.0105250433303299;"TP73";"7161"
"ENSG00000069424";1870.29268789158;-1.78319025047924;0.331653984901799;-5.3766586010032;7.58808587080131e-08;8.82491434211597e-06;"KCNAB2";"8514"
"ENSG00000049249";14.9281659534734;-2.46410715539191;0.656804665185101;-3.75165903350805;0.000175668266602672;0.00539624750307015;"TNFRSF9";"3604"
"ENSG00000116288";8319.68130171274;0.518631811798462;0.15575578386895;3.32977561998487;0.000869159944587609;0.0183864555045501;"PARK7";"11315"
"ENSG00000232912";29.3042887912427;-0.790746432926931;0.268419389267348;-2.94593633897044;0.00321978660218547;0.0472593909660249;NA;NA
"ENSG00000142583";170.895137886675;-2.27388048533842;0.441106465111993;-5.15494708235824;2.53702563927464e-07;2.29091115807491e-05;"SLC2A5";"6518"
"ENSG00000171612";575.458115668362;0.557745718521114;0.176606065538351;3.15813455682244;0.00158782249833977;0.0287801253201197;"SLC25A33";"84275"
"ENSG00000171608";2348.27357752669;-1.27181139785272;0.318770361039245;-3.98974168648052;6.61452907384182e-05;0.00244680271643636;"PIK3CD";"5293"
"ENSG00000179840";2.82427006497446;-2.59600782562162;0.855342914700014;-3.03504919606669;0.00240496454423534;0.0383097909056052;"PIK3CD-AS1";"644997"
"ENSG00000271895";624.589487026273;-0.565526870449893;0.186993386769257;-3.02431481786964;0.00249196976877583;0.0391806861751399;NA;NA
"ENSG00000162490";10.8839836263482;-1.67917560234195;0.494509122384071;-3.39564130636559;0.000684680217155751;0.0155635029628955;"DRAXIN";"374946"
"ENSG00000120949";40.130194717727;-1.361874376442;0.438481738433037;-3.10588619108474;0.00189709715608654;0.0324569759005555;"TNFRSF8";"943"
"ENSG00000028137";2279.14584968729;-0.853888324249096;0.252211268197433;-3.38560735351708;0.000710209238868939;0.0159884631423311;"TNFRSF1B";"7133"
"ENSG00000228549";17.6537891940083;2.07684835726757;0.626919082205738;3.31278535973165;0.000923718404158704;0.0192263366169217;"LOC112267871";"112267871"
"ENSG00000173436";2533.81162512698;0.348296664888616;0.106071090969067;3.28361537254472;0.00102484686710668;0.0206801886117367;"MICOS10";"440574"
"ENSG00000169914";1437.48409809186;-0.861457830532692;0.222067487410854;-3.87926139290657;0.00010477411894387;0.00351864454057678;"OTUD3";"23252"
"ENSG00000117215";47.9233084579731;-4.13420696477089;1.08679339695692;-3.80404129832487;0.000142354431356346;0.00452641659447855;"PLA2G2D";"26279"
"ENSG00000183114";163.548638539508;1.51552847318687;0.366856381303711;4.13112201510868;3.60996895410057e-05;0.00148620333428529;"FAM43B";"163933"
"ENSG00000162552";248.30183487881;1.54279757124034;0.500344553040329;3.08347030434444;0.00204601528659376;0.034240398040874;"WNT4";"54361"
"ENSG00000007968";93.5456355440975;-2.12048157093378;0.431414657760841;-4.91518202450434;8.87000076005166e-07;6.43484108536854e-05;"E2F2";"1870"
"ENSG00000117318";12873.2287941845;1.03454447472197;0.296564735769658;3.48842714571936;0.000485871209516487;0.0119229922670265;"ID3";"3399"
"ENSG00000188822";136.474090240824;-2.94692039123232;0.500256848963601;-5.89081468317235;3.84296319569931e-09;7.50734163112789e-07;"CNR2";"1269"
"ENSG00000229106";15.2739784701065;-1.56404194784834;0.50312775689799;-3.10863776924448;0.00187951995317404;0.0323041816448642;NA;NA
"ENSG00000020633";676.294436853177;-2.32575632721579;0.43066545616701;-5.40037816804575;6.65005613333952e-08;7.91886564818267e-06;"RUNX3";"864"
"ENSG00000169442";791.097843661547;-3.15536893695787;0.514689093831155;-6.13063104459912;8.75311843348219e-10;2.09953177266576e-07;"CD52";"1043"
